date,S1counts,S1SM,S1Perm,S1Temp,S1Volt,S2counts,S2SM,S2Perm,S2Temp,S2Volt,S3counts,S3SM,S3Perm,S3Temp,S3Volt,S4counts,S4SM,S4Perm,S4Temp,S4Volt,S5counts,S5SM,S5Perm,S5Temp,S5Volt,S6counts,S6SM,S6Perm,S6Temp,S6Volt,S7counts,S7SM,S7Perm,S7Temp,S7Volt,S8counts,S8SM,S8Perm,S8Temp,S8Volt,S9counts,S9SM,S9Perm,S9Temp,S9Volt,S10counts,S10SM,S10Perm,S10Temp,S10Volt
2020-04-13 00:08:08,15013.0,3.93,5.35,29.195,11.72,12697.0,9.91,18.65,27.906,11.72,12510.0,10.02,18.86,25.563000000000002,11.8,14071.0,5.5,9.16,23.851999999999997,11.54,15676.0,3.02,3.04,24.563000000000002,11.57,13499.0,7.03,12.66,29.625,11.57,13542.0,6.92,12.42,25.375,11.8,12120.0,11.99,22.54,25.25,11.72,15369.0,3.48,4.21,26.875,11.67,13957.0,5.89,10.09,28.578000000000003,11.7
2020-04-13 00:18:08,15014.0,3.93,5.34,29.109,11.72,12697.0,9.91,18.65,27.906,11.72,12511.0,10.01,18.85,25.555,11.8,14071.0,5.5,9.16,23.836,11.54,15677.0,3.02,3.04,24.43,11.57,13501.0,7.02,12.65,29.616999999999997,11.57,13542.0,6.92,12.42,25.313000000000002,11.8,12120.0,11.99,22.54,25.203000000000003,11.72,15370.0,3.48,4.21,26.75,11.67,13958.0,5.89,10.08,28.546999999999997,11.7
2020-04-13 00:28:08,15015.0,3.92,5.34,28.969,11.72,12698.0,9.9,18.64,27.898000000000003,11.72,12511.0,10.01,18.85,25.616999999999997,11.8,14072.0,5.49,9.15,23.836,11.54,15678.0,3.02,3.04,24.289,11.57,13502.0,7.02,12.64,29.546999999999997,11.57,13543.0,6.92,12.41,25.234,11.8,12121.0,11.98,22.53,25.171999999999997,11.72,15371.0,3.48,4.2,26.609,11.67,13959.0,5.89,10.07,28.484,11.7
2020-04-13 00:38:08,15016.0,3.92,5.34,28.906,11.72,12698.0,9.9,18.64,27.859,11.72,12510.0,10.02,18.86,25.594,11.8,14072.0,5.49,9.15,23.859,11.54,15678.0,3.02,3.04,24.188000000000002,11.57,13504.0,7.02,12.63,29.491999999999997,11.57,13543.0,6.92,12.41,25.171999999999997,11.8,12121.0,11.98,22.53,25.156,11.72,15371.0,3.48,4.2,26.516,11.67,13960.0,5.89,10.07,28.445,11.7
2020-04-13 00:48:08,15016.0,3.92,5.34,28.75,11.72,12699.0,9.9,18.63,27.859,11.72,12511.0,10.01,18.85,25.616999999999997,11.8,14071.0,5.5,9.16,23.851999999999997,11.54,15678.0,3.02,3.04,24.046999999999997,11.57,13505.0,7.01,12.62,29.406,11.57,13544.0,6.92,12.41,25.086,11.8,12121.0,11.98,22.53,25.171999999999997,11.72,15371.0,3.48,4.2,26.406,11.67,13960.0,5.89,10.07,28.398000000000003,11.7
2020-04-13 00:58:08,15017.0,3.92,5.33,28.671999999999997,11.72,12699.0,9.9,18.63,27.836,11.72,12510.0,10.02,18.86,25.601999999999997,11.8,14071.0,5.5,9.16,23.851999999999997,11.54,15678.0,3.02,3.04,23.93,11.57,13506.0,7.01,12.62,29.32,11.57,13545.0,6.91,12.4,25.023000000000003,11.8,12121.0,11.98,22.53,25.109,11.72,15370.0,3.48,4.21,26.289,11.67,13961.0,5.88,10.06,28.328000000000003,11.7
2020-04-13 01:08:08,15019.0,3.92,5.33,28.555,11.72,12699.0,9.9,18.63,27.836,11.72,12510.0,10.02,18.86,25.633000000000003,11.78,14071.0,5.5,9.16,23.844,11.54,15679.0,3.02,3.03,23.844,11.57,13508.0,7.01,12.61,29.258000000000003,11.57,13545.0,6.91,12.4,24.945,11.8,12122.0,11.98,22.52,25.086,11.72,15371.0,3.48,4.2,26.211,11.67,13962.0,5.88,10.06,28.305,11.7
2020-04-13 01:18:08,15019.0,3.92,5.33,28.453000000000003,11.72,12699.0,9.9,18.63,27.773000000000003,11.72,12510.0,10.02,18.86,25.625,11.8,14071.0,5.5,9.16,23.866999999999997,11.54,15679.0,3.02,3.03,23.68,11.57,13509.0,7.0,12.6,29.241999999999997,11.57,13546.0,6.91,12.39,24.875,11.8,12122.0,11.98,22.52,25.046999999999997,11.72,15370.0,3.48,4.21,26.078000000000003,11.67,13963.0,5.88,10.06,28.226999999999997,11.7
2020-04-13 01:28:08,15018.0,3.92,5.33,28.383000000000003,11.72,12699.0,9.9,18.63,27.796999999999997,11.72,12509.0,10.02,18.87,25.641,11.8,14071.0,5.5,9.16,23.883000000000003,11.54,15679.0,3.02,3.03,23.594,11.57,13510.0,7.0,12.6,29.171999999999997,11.57,13547.0,6.91,12.39,24.836,11.8,12123.0,11.97,22.51,25.046999999999997,11.72,15370.0,3.48,4.21,25.991999999999997,11.65,13963.0,5.88,10.06,28.219,11.7
2020-04-13 01:38:08,15018.0,3.92,5.33,28.258000000000003,11.72,12699.0,9.9,18.63,27.741999999999997,11.72,12509.0,10.02,18.87,25.601999999999997,11.8,14071.0,5.5,9.16,23.836,11.54,15680.0,3.02,3.03,23.5,11.54,13511.0,7.0,12.59,29.094,11.57,13547.0,6.91,12.39,24.781,11.8,12123.0,11.97,22.51,25.031,11.7,15370.0,3.48,4.21,25.875,11.67,13964.0,5.88,10.05,28.171999999999997,11.7
