date,S1counts,S1SM,S1Perm,S1Temp,S1Volt,S2counts,S2SM,S2Perm,S2Temp,S2Volt,S3counts,S3SM,S3Perm,S3Temp,S3Volt,S4counts,S4SM,S4Perm,S4Temp,S4Volt,S5counts,S5SM,S5Perm,S5Temp,S5Volt,S6counts,S6SM,S6Perm,S6Temp,S6Volt,S7counts,S7SM,S7Perm,S7Temp,S7Volt,S8counts,S8SM,S8Perm,S8Temp,S8Volt,S9counts,S9SM,S9Perm,S9Temp,S9Volt,S10counts,S10SM,S10Perm,S10Temp,S10Volt
2020-05-15 00:58:08,,,,14185.0,5.27,8.62,27.68,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 01:18:08,,,,14186.0,5.27,8.62,27.688000000000002,6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 01:28:08,,,12859.0,8.7,16.23,29.491999999999997,6.74,14186.0,5.27,8.62,27.741999999999997,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 01:38:08,,,12859.0,8.7,16.23,29.491999999999997,6.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 01:48:08,,,12859.0,8.7,16.23,29.523000000000003,6.63,14185.0,5.27,8.62,27.734,6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 01:58:08,,,12859.0,8.7,16.23,29.539,6.63,14186.0,5.27,8.62,27.688000000000002,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 02:08:08,,,12859.0,8.7,16.23,29.523000000000003,6.61,14185.0,5.27,8.62,27.671999999999997,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 02:18:08,,,12859.0,8.7,16.23,29.523000000000003,6.58,14186.0,5.27,8.62,27.711,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 02:28:08,,13376.0,7.63,13.96,31.391,6.66,12858.0,8.71,16.24,29.516,6.63,14185.0,5.27,8.62,27.695,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 02:38:08,,13376.0,7.63,13.96,31.438000000000002,6.66,12859.0,8.7,16.23,29.516,6.63,14186.0,5.27,8.62,27.711,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 02:48:08,,13377.0,7.62,13.95,31.383000000000003,6.58,12859.0,8.7,16.23,29.555,6.58,14186.0,5.27,8.62,27.703000000000003,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 02:58:08,,13377.0,7.62,13.95,31.344,6.55,12859.0,8.7,16.23,29.578000000000003,6.55,14186.0,5.27,8.62,27.688000000000002,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 03:08:08,,13377.0,7.62,13.95,31.328000000000003,6.53,12859.0,8.7,16.23,29.57,6.53,14186.0,5.27,8.62,27.719,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 03:18:08,,13378.0,7.62,13.95,31.313000000000002,6.5,12859.0,8.7,16.23,29.578000000000003,6.5,14186.0,5.27,8.62,27.711,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 03:28:08,,13378.0,7.62,13.95,31.281,6.48,12859.0,8.7,16.23,29.57,6.48,14186.0,5.27,8.62,27.734,6.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 03:38:08,,13379.0,7.62,13.94,31.273000000000003,6.45,12858.0,8.71,16.24,29.594,6.45,14186.0,5.27,8.62,27.688000000000002,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 03:48:08,,13379.0,7.62,13.94,31.273000000000003,6.42,12858.0,8.71,16.24,29.594,6.42,14185.0,5.27,8.62,27.703000000000003,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 03:58:08,,13379.0,7.62,13.94,31.258000000000003,6.4,12858.0,8.71,16.24,29.609,6.42,14186.0,5.27,8.62,27.703000000000003,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 04:08:08,,13379.0,7.62,13.94,31.241999999999997,6.37,12858.0,8.71,16.24,29.609,6.4,14185.0,5.27,8.62,27.719,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 04:18:08,,13380.0,7.61,13.94,31.234,6.35,12858.0,8.71,16.24,29.601999999999997,6.37,14186.0,5.27,8.62,27.719,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 04:28:08,15420.0,3.38,3.96,31.055,7.02,13380.0,7.61,13.94,31.219,6.61,12858.0,8.71,16.24,29.586,6.5,14185.0,5.27,8.62,27.68,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 04:38:08,15421.0,3.38,3.95,30.976999999999997,7.02,13381.0,7.61,13.93,31.188000000000002,6.61,12858.0,8.71,16.24,29.586,6.5,14185.0,5.27,8.62,27.664,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 04:48:08,,13382.0,7.61,13.92,31.171999999999997,6.29,12858.0,8.71,16.24,29.601999999999997,6.32,14186.0,5.27,8.62,27.68,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 04:58:08,,13381.0,7.61,13.93,31.125,6.27,12858.0,8.71,16.24,29.633000000000003,6.32,14186.0,5.27,8.62,27.688000000000002,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 05:08:08,,13383.0,7.61,13.92,31.109,6.27,12858.0,8.71,16.24,29.633000000000003,6.29,14186.0,5.27,8.62,27.703000000000003,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 05:18:08,,13383.0,7.61,13.92,31.094,6.29,12858.0,8.71,16.24,29.633000000000003,6.32,14185.0,5.27,8.62,27.695,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 05:28:08,,13383.0,7.61,13.92,31.07,6.27,12858.0,8.71,16.24,29.641,6.32,14186.0,5.27,8.62,27.703000000000003,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 05:38:08,,13384.0,7.6,13.91,31.046999999999997,6.24,12858.0,8.71,16.24,29.616999999999997,6.29,14185.0,5.27,8.62,27.726999999999997,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 05:48:08,,13385.0,7.6,13.91,31.008000000000003,6.22,12857.0,8.71,16.25,29.616999999999997,6.27,14186.0,5.27,8.62,27.688000000000002,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 05:58:08,,13385.0,7.6,13.91,31.016,6.22,12858.0,8.71,16.24,29.633000000000003,6.27,14186.0,5.27,8.62,27.734,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 06:08:08,15426.0,3.37,3.94,30.43,6.74,13385.0,7.6,13.91,31.008000000000003,6.35,12857.0,8.71,16.25,29.641,6.32,14185.0,5.27,8.62,27.726999999999997,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 06:18:08,15427.0,3.37,3.94,30.406,6.79,13385.0,7.6,13.91,30.938000000000002,6.37,12857.0,8.71,16.25,29.616999999999997,6.35,14185.0,5.27,8.62,27.695,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 06:28:08,,13386.0,7.6,13.9,30.969,6.24,12857.0,8.71,16.25,29.616999999999997,6.29,14185.0,5.27,8.62,27.711,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 06:38:08,15428.0,3.37,3.93,30.258000000000003,6.68,13386.0,7.6,13.9,30.921999999999997,6.32,12858.0,8.71,16.24,29.641,6.29,14185.0,5.27,8.62,27.741999999999997,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 06:48:08,,13386.0,7.6,13.9,30.914,6.22,12857.0,8.71,16.25,29.625,6.27,14186.0,5.27,8.62,27.741999999999997,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 06:58:08,15430.0,3.37,3.93,30.156,6.66,13387.0,7.59,13.89,30.898000000000003,6.29,12858.0,8.71,16.24,29.671999999999997,6.27,14186.0,5.27,8.62,27.719,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 07:08:08,15430.0,3.37,3.93,30.133000000000003,6.68,13387.0,7.59,13.89,30.866999999999997,6.29,12858.0,8.71,16.24,29.648000000000003,6.29,14186.0,5.27,8.62,27.711,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 07:18:08,15430.0,3.37,3.93,30.07,6.68,13388.0,7.59,13.88,30.851999999999997,6.29,12858.0,8.71,16.24,29.664,6.29,14186.0,5.27,8.62,27.726999999999997,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 07:28:08,15431.0,3.37,3.92,30.031,6.66,13388.0,7.59,13.88,30.813000000000002,6.27,12858.0,8.71,16.24,29.656,6.27,14186.0,5.27,8.62,27.719,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 07:38:08,15431.0,3.37,3.92,30.0,6.66,13388.0,7.59,13.88,30.773000000000003,6.27,12858.0,8.71,16.24,29.594,6.27,14187.0,5.27,8.61,27.719,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 07:48:08,15431.0,3.37,3.92,30.008000000000003,6.68,13388.0,7.59,13.88,30.789,6.29,12859.0,8.7,16.23,29.633000000000003,6.27,14187.0,5.27,8.61,27.726999999999997,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 07:58:08,15431.0,3.37,3.92,29.969,6.66,13389.0,7.59,13.88,30.789,6.27,12859.0,8.7,16.23,29.671999999999997,6.24,14187.0,5.27,8.61,27.726999999999997,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 08:08:08,15431.0,3.37,3.92,29.969,6.66,13389.0,7.59,13.88,30.734,6.27,12859.0,8.7,16.23,29.633000000000003,6.24,14188.0,5.26,8.61,27.734,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 08:18:08,15432.0,3.36,3.92,29.938000000000002,6.66,13389.0,7.59,13.88,30.719,6.27,12860.0,8.7,16.23,29.641,6.24,14188.0,5.26,8.61,27.741999999999997,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 08:28:08,15432.0,3.36,3.92,29.938000000000002,6.68,13390.0,7.59,13.87,30.68,6.27,12860.0,8.7,16.23,29.648000000000003,6.24,14188.0,5.26,8.61,27.758000000000003,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 08:38:08,15432.0,3.36,3.92,29.976999999999997,6.66,13390.0,7.59,13.87,30.68,6.27,12860.0,8.7,16.23,29.616999999999997,6.27,14188.0,5.26,8.61,27.711,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 08:48:08,15432.0,3.36,3.92,29.953000000000003,6.68,13390.0,7.59,13.87,30.656,6.29,12860.0,8.7,16.23,29.601999999999997,6.27,14189.0,5.26,8.61,27.726999999999997,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 09:08:08,15432.0,3.36,3.92,30.0,6.61,13391.0,7.58,13.87,30.601999999999997,6.27,12861.0,8.7,16.22,29.641,6.24,14189.0,5.26,8.61,27.741999999999997,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 09:18:08,15432.0,3.36,3.92,30.046999999999997,6.58,13391.0,7.58,13.87,30.594,6.27,12862.0,8.69,16.21,29.641,6.27,14189.0,5.26,8.61,27.758000000000003,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 09:28:08,15432.0,3.36,3.92,30.055,6.71,13392.0,7.58,13.86,30.546999999999997,6.29,12862.0,8.69,16.21,29.656,6.27,14190.0,5.26,8.6,27.688000000000002,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 09:38:08,15431.0,3.37,3.92,30.125,6.66,13393.0,7.58,13.85,30.523000000000003,6.29,12862.0,8.69,16.21,29.609,6.27,14190.0,5.26,8.6,27.741999999999997,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 09:48:08,,13393.0,7.58,13.85,30.516,6.19,12863.0,8.69,16.21,29.641,6.24,14191.0,5.26,8.6,27.781,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 09:58:08,15430.0,3.37,3.93,30.296999999999997,6.63,13393.0,7.58,13.85,30.484,6.29,12864.0,8.69,16.19,29.656,6.27,14191.0,5.26,8.6,27.719,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 10:08:08,,13394.0,7.57,13.85,30.484,6.16,12864.0,8.69,16.19,29.633000000000003,6.22,14191.0,5.26,8.6,27.719,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15 10:18:08,,13395.0,7.57,13.84,30.491999999999997,6.16,12865.0,8.68,16.19,29.625,6.22,14192.0,5.26,8.59,27.741999999999997,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
